:0000 TENDA VILLAGE
00eb 1af0 0068

:006c
.0170 1c30 0088

:0074
0076 1d88 0038
0077 1de8 0038
00f9 1e70 0068

:0174
.01f7 1dd8 00d0

:0178
#01f8 1e08 00e8

:007c
00fd 1f48 0058
00fe 1f88 0058
00fc 1f08 0068
00ff 1ff0 0068

:0160 GRAPEFRUIT FALLS
#0263 18e0 0100
0569 1a68 02a0
1262 18b0 0920
1262 18b8 0920

:026c
036c 1b08 0188
0370 1c30 0188

:0274 NESS'S HOUSE DOWNSTAIRS
02f4 1d20 0150
02f9 1e78 0150

:0374
03f7 1df0 01e8

:0378
0379 1e68 01b8
037b 1ec8 01b8
03f8 1e08 01e8
03fe 1fb0 01e8

:027c
.02ff 1ff0 0168

:0400 INSIDE BRICKROAD SECOND FLOOR
.0484 0128 0248
.0484 0130 0248

.0485 0168 0248
.0485 0170 0248

0486 01a8 0248
0486 01b0 0248
0602 00a8 0310

.0487 01e8 0248
.0487 01f0 0248

#0707 01e8 03a8
#0707 01f0 03a8

#0886 01a8 0468
#0886 01b0 0468

:044c LONG SEWER BELOW FOURSIDE
054c 1300 02b0
054c 1300 02b8
05cc 1300 02d0
05cc 1300 02d8
0450 1418 0218
0553 14c8 0298
04d7 15e8 0258
055f 17f8 02b0
055f 17f8 02b8
05df 17f8 02d0
05df 17f8 02d8

:046c
.04ec 1b08 0268

:056c
056e 1b88 02b8
056f 1bc8 02b8
056f 1be8 02b8
05ec 1b08 02e8

:0474
.04f7 1dd0 0268

:0574
05f7 1df0 02e8

:0478
047a 1e88 0238
04f8 1e08 0268
047c 1f08 0238
04fd 1f70 0268

:0578
057a 1e88 02a8
057a 1e90 02a8
05f8 1e28 02c8
05fc 1f30 02c8

:066c
06ec 1b08 0368
06f3 1cd0 0368

:076c
.07ee 1b98 03d0

:0770
0772 1c90 03b8
07f0 1c08 03e8
07f3 1cf0 03e8

:0674
.06f6 1d98 0350

:0774
07f6 1d88 03d8
07f4 1d08 03e8
07f7 1df0 03e8

:0678
06f8 1e08 0368
06fa 1eb0 0368

:0778
.07fb 1ed0 03e8

:067c
.06ff 1ff0 0368

:077c
.07fc 1f28 03c8

:0834 MOLE PLAYING ROUGH LAIR
)08be 0f88 0450
)08be 0f90 0450
(0d30 0c28 0688

:0648 PEACEFUL REST VALLEY
09da 16b8 04c8
08dc 1730 0448

0c5d 1748 0620

11c2 10b0 08c0
11c2 10b8 08c0

:086c
.08ef 1bf0 0468

:096c
.09ef 1bd0 04e8

:0870
08f1 1c50 0448

:0970
09f3 1cd0 04e8

:0874
.08f7 1dd8 0450

:0974 LIER X. AGERATE LADDER HOLE
#09f6 1d98 04d0
#09f5 1d60 04d8

:0878
.08fb 1ef0 0468

:0978
.09fb 1ed0 04e8

:087c NESS'S BEDROOM
08fc 1f20 0450

:097c
09ff 1fd0 04e8

:0a00 TRASHCAN IN SEWER
0b03 00f8 0590
0b03 00f8 0598

0b03 00f8 05b0
0b03 00f8 05b8

:0a04 CRYPT STAIRS
#0b84 0108 05e8
#0a88 0230 0548

:0a6c
.0aef 1bf0 0568

:0b6c
0bec 1b28 05c8
0bee 1bb8 05d0

:0a70
0af3 1cd0 0568

:0b70
0bf1 1c48 05d8
0bf2 1c88 05d8
0bf0 1c08 05e8

:0a74
0af6 1db0 0568

:0b74
.0bf7 1dd8 05d0

:0a78
.0afb 1ed0 0568

:0b78
0bfb 1ef0 05e8

:0a7c
0afe 1f90 0548

:0b7c
0b7e 1f88 05b8
0bfc 1f08 05e8
0bff 1ff0 05e8

:0c6c
0cec 1b08 0668
0cef 1bf0 0668

:0d6c
0def 1bf0 06e8

:0c70
.0cf2 1cb0 0668

:0d70
.0df1 1c68 06c0

:0c74
.0cf4 1d08 0668

:0d74
0df7 1df0 06e8

:0c78
.0cfb 1ed0 0668

:0d78
.0df9 1e68 06c0

:0c7c
.0cff 1ff0 0668

:0d7c
0dfc 1f20 06d0
0dff 1fd8 06d0

:0640 GIYGAS
0fc2 1088 07f8

:0e6c ANDONUTS LAB UPSTAIRS
0f6c 1b10 0780

:0e70 JEFF'S AND TONY'S ROOM
#0ef3 1cd0 0768

:0f70
0ff1 1c68 07c0

:0e74 CARPAINTER ROOM
.0f74 1d20 0790

:0e78
0efb 1ed0 0768

:0f78
.0ff9 1e68 07c0

:0e7c
0efe 1fb0 0768

:1000 WINTERS (NORTH)
#1107 01e0 0888
#1107 01f0 0888

120a 02b8 0918
1588 0218 0ad0
188c 0318 0c70
1a05 0158 0d10
1a06 0198 0d30
1a08 0238 0d10

:1010 TITANIC ANT ROOM
)1090 0438 0850
)1091 0440 0850
(1391 0470 09c8

:1030 LIER X. AGERATE TUNNEL
10b1 0c58 0848
10b7 0df0 0848

:1038 LUMINE HALL TALKING ROCKS
10b9 0e48 0850

103c 0f08 0830
1334 0d08 09b0
13bc 0f28 09f0

1431 0c68 0a10
15b1 0c68 0af0

16b9 0e68 0b70

:106c TRILLIONAGE SPROUT ROOM
(10ed 1b48 0860
)11f2 1ca8 08f0
)11f2 1cb0 08f0

:1074
.10f7 1df0 0868

:1078
10fb 1ed0 0868

:0f7c PINK SATURN ROOM
.107e 1f90 0808

:123c BELOW GRAVEYARD
123c 0f08 0918
123f 0ff0 0918

:134c TUNNEL TO SATURN VALLEY?
13cc 1308 09c8
13d3 14f0 09c8

:1354
13d7 15f0 09c8
13d4 1508 09d8

:1358
13d8 1628 09c8
13da 1690 09c8

:135c
13dc 1728 09c0
13de 17b8 09c8

:1268 SMALL FIRE SPRINGS ROOM
13e8 1a08 09d0
13ea 1a88 09d0
13ec 1b30 09d0

:1174 HAPPY HAPPY ASSEMBLY
1275 1d60 0910
127e 1f98 0910

:1374
13f7 1dd0 09e8

:1378 BIG MONOTOLI BUILDING ROOM
13fa 1e88 09d8
13fb 1ed0 09d8
1478 1e28 0a08
147d 1f50 0a08

:1410 TALKING ROCK BELOW TENDA VILLAGE
1412 0498 0a08
1510 0428 0a88

:1220 LOST UNDERWORLD
149e 07b8 0a40
181d 0750 0c10

:1440 SUMMERS
1546 11b8 0aa0
154d 1340 0a98
1552 14b8 0a98
1558 1610 0aa0
1558 1618 0aa0
155d 1760 0a88
155d 1770 0a88
155e 1780 0a88
1565 1968 0ab0
1565 1970 0ab0
15ed 1b50 0ad0
15f1 1c58 0ad0
15f5 1d58 0ad0
166c 1b10 0b10
166e 1bb0 0b10
1670 1c10 0b10
1672 1cb0 0b10
1674 1d10 0b10

:1578 ANDONUTS LAB
167b 1ef0 0b20
16ff 1fd0 0b48
16ff 1fd8 0b50

:1778 SNOW WOOD BOARDING HOUSE
17fa 1e88 0bd8
17fb 1ed0 0bd8
1878 1e28 0c08

:1830 PLAGUE RAT ROOM
(1930 0c00 0cb0
(1930 0c00 0cb8
(19b0 0c00 0cd0
(19b0 0c00 0cd8
)1837 0dd8 0c18
(1935 0d48 0c98

:183c CRYPT STAIRS
#18bc 0f08 0c48
#19c1 1050 0ce8

:1968
19e8 1a08 0cc8

:1974 TUNNEL TO SATURN VALLEY?
19f7 1df8 0cc8
19f4 1d08 0cd8
19ff 1ff0 0cc8

:1a10 BRICKROAD MAZE
1b9f 07d0 0dc0
1d11 0448 0e80

:1a3c TUNNEL TO PEACEFUL REST VALLEY?
1abc 0f08 0d48
1ac3 10f0 0d48

:1a44 DALAAM
1bc7 11c8 0dc8
1d44 1100 0e98
1ec3 10c0 0f58
1f45 1140 0f98
1e4a 1280 0f18

20c3 10e8 1048

:1a50 CRYPT STAIRS
#1bd0 1408 0de8
#1ad5 1570 0d48

:1b54
1b54 1500 0da8
1bd7 15f0 0de8

:1a58 SHORT HIGHWAY
1ad8 1630 0d40
1ad8 1628 0d48
1ad8 1620 0d50
1ad8 1618 0d58
1ad8 1610 0d60
1ad8 1608 0d68
1ae2 18a8 0d40
1ae2 18b0 0d48
1ae2 18b8 0d50
1ae3 18c0 0d58
1ae3 18c8 0d60
1ae3 18d0 0d68

:1b58
1bdb 16c8 0de0

:1a64 LONG CRYPT STAIRS
#1bdc 1708 0de8
#1ae7 19f0 0d48

:1a68
1aea 1a90 0d48

:1b68
1be8 1a08 0dc8
1beb 1af0 0dc8

:1a6c LONG SEWER ROOM
1b6c 1b00 0db0
1b6c 1b00 0db8
1bec 1b00 0dd0
1bec 1b00 0dd8
1af3 1ce8 0d58
1b7f 1ff8 0db0
1b7f 1ff8 0db8
1bff 1ff8 0dd0
1bff 1ff8 0dd8

:1c0c MUMMY ROOM
1c8c 0328 0e68
1c8f 03d0 0e68
#1c8d 0378 0e70
#1c8e 0380 0e70
1d0c 0308 0e88

:1a20 FOURSIDE
.1db6 0d80 0ec0

1cae 0ba0 0e40
1cae 0ba8 0e48
1cae 0bb0 0e50
1e28 0a20 0f10
2132 0ca0 10a0
2132 0c90 10b0
21b2 0c80 10c0
2036 0d80 1010
2138 0e18 10b8
21b8 0e20 10c0
232f 0bf0 11b8
23af 0bc8 11e0
23af 0bc0 11e8
23ae 0bb8 11f0
24a8 0a20 1258
24b6 0d80 1270
24b6 0d88 1278
27a2 08b0 13c0
27a2 08b0 13c8
27a2 08b0 13d0
27a2 08b0 13d8
27a2 08b0 13e0
27a2 08b0 13e8
27a2 08b0 13f0
27a2 08b0 13f8

203d 0f68 1008
203d 0f68 1010

:1c60 STONEHENGE BASE
1ce1 1860 0e50
22f0 1c38 1150

:1c6c ENTRANCE TO STONEHENGE BASE?
1c6d 1b60 0e20
1d6f 1bd0 0ea0

:1c70 MOONSIDE
1df3 1cc0 0ef0
1dfb 1ee0 0ed8
1e7d 1f40 0f20
1e7d 1f48 0f28
1e7d 1f50 0f30
207b 1ee0 1020
207b 1ed0 1030
20fb 1ec0 1040

:1c00 WINTERS SANCTUARY SPOT?
1e03 00c8 0f00
1e03 00d0 0f00

:1e10 SCARABA
1f14 0520 0fb8
1f17 05c0 0fb8
1f99 0660 0ff8
2013 04c8 1020
2015 0560 1018
261b 06f8 1310
261c 0700 1310

2614 0500 1318

2a9a 06b8 1558

:2000 WINTERS (SOUTH)
2106 01a8 10a0
2106 01b0 10a0
2285 0150 1158
2285 0158 1158
2605 0140 1310

240c 0308 1220
240c 0310 1220

248a 02a8 1248
260a 0288 1300
260a 0290 1300

:2050 MAGICANT WHITE
20d2 1488 1058
254f 13f8 1280
24dd 1758 1240
24df 17d8 1260

:2054
20d4 1508 1048
20d7 15f0 1048

:2060 MOONSIDE DINOSAUR
.2163 18f0 1088

:2064 STONEHENGE BASE MAZE
21eb 1af0 10c8
23e4 1908 11c8

:2240
22c3 10c8 1160

:2340
23c0 1028 11c8
23c2 10b0 11c8

:2244 THREE HOLES BEFORE THUNDER AND STORM
#2345 1148 11a8
#2345 1150 11a8

#23c7 11c8 11c8
#23c7 11d0 11c8

#23ca 12a8 11c8
#23ca 12b0 11c8

:2440
.24c3 10c8 1260

:2540
25c1 1070 12c8

:2444 MASTER BELCH ROOM
24c5 1170 1270

2549 1258 1290

:2464 LUMINE HALL: don't use these ever. 
##25e4 1928 12c8
##25e4 1930 12c8

:247c STARMAN DELUXE ROOM
.257c 1f08 1288

:273c
27be 0fb8 13c8

:2640
26c3 10e8 1360

:2740
27c0 1028 13c8
27c2 10b0 13c8

:2644
.26c7 11f0 1368

:2744
27c7 11d0 13e8

:2648 MANI MANI ROOM AFTER MOONSIDE
2748 1228 1388

:2650
26d0 1408 1368
26d3 14d0 1368

:2750
.2750 1428 13b8

:2654 MONOTOLI HALLWAY
26d5 1570 1350
26d8 1608 1350
26d9 1670 1368

:265c
265d 1768 1338
26dc 1708 1368
26df 17d0 1368

:275c
.27df 17f0 13e8

:2660 GRAY TUNNEL
26e0 1828 1360
26eb 1af0 1360

:2664 MOONSIDE BAR
.26e4 1928 1348

:2670 MOONSIDE HOSPITAL
26f3 1ce8 1358
26f7 1dd0 1368

:2770 BROWN TUNNEL
27f0 1c08 13c8
27f7 1dd8 13c8

:2678 UNDERNEATH STONEHENGE
27f8 1e00 13e8
267f 1ff0 1328
27fc 1f20 13e8

:2800 MILKY WELL AREA
2903 00f0 14a0
2903 00f8 14a0
2b8c 0330 15e0
2b8c 0338 15e0

2909 0270 14a0
2909 0278 14a0

:2830 SATURN TUNNEL FORK
2831 0c60 1400
28b0 0c08 1468
28b3 0cf0 1468

:283c
283c 0f08 1418
283f 0ff0 1418

:293c
29bc 0f08 14c8

:2840
2842 1090 1430
28c0 1008 1450

:2940
29c0 1028 14c8

:2844 FOURSIDE MUSEUM
#29c4 1128 14c8

294f 13e8 14b0
294f 13e8 14b8
29cf 13e8 14c0
29cf 13e8 14c8
29cf 13e8 14d0
29cf 13e8 14d8

:2850
2852 1480 1438
28d0 1408 1468
28d3 14d0 1468

:2950
.2950 1428 14b8

:2754 GOLD OFFICE
.2858 1610 1408

:285c
28df 17d0 1468

:295c
.29dc 1708 14e8

:2860 MOLE TUNNEL
2960 1828 1490
2967 19c8 1490

:2864 MONKEY 1
2864 1928 1438

2865 1948 1438

28e5 1970 1448

:266c UNDERNEATH STONEHENGE
2968 1a00 1488
2b60 1800 15a8

:2870 MOLE TUNNEL
2871 1c68 1410
2a7e 1fa8 1510

:2970 MONKEY TUNNELS ENTRANCE
#29f0 1c08 14c8
#2977 1dc0 1480

:2a20 THUNDER AND STORM SANCTUARY BOSS?
)2b20 0808 1588
!(2ba6 09a8 15c8
!(2ba6 09b0 15c8

:2a28 MASTER BELCH'S BASE
2b2c 0b30 1588
2a30 0c20 1530
2ab7 0dd0 1548
2ca2 0880 1650
2ca8 0a28 1668
2db5 0d50 16e8

:2a38
2ab8 0e08 1550

:2b38
.2bbb 0ed8 15c8

:2a3c
2a3f 0ff0 1528
2abc 0f00 1568

:2b3c
2bbc 0f08 15c8

:2a40
2ac0 1008 1550
2ac1 1070 1550

:2b40
.2bc2 10b0 15c8

:2a44 LARGE BAKERY
2ac7 11d0 1568
2b44 1108 1588

:2a48 TOPOLLA THEATER ENTRANCE
2a4b 12c8 1538
2a4b 12d0 1538
2ac9 1258 1558

2b4f 13f0 15a8

:2a50
2a51 1450 1538
2a52 1480 1538
2ad3 14d0 1568

:2b50
.2b50 1428 15b8

:2954 MONOTOLI RECEPTION AREA
2a55 1548 1528
2a59 1650 1528

:2a5c
2adf 17d0 1568

:2b5c
2bdf 17f0 15e8

:2a60 MONKEY 2
2a60 1828 1538

2a61 1868 1538

2ae2 1890 1548

:2a6c MOLE TUNNELS (LARGE)
2aee 1ba8 1548
2aee 1bb0 1548
2cfa 1ea8 1648
2cfa 1eb0 1648
2ef6 1da8 1748
2ef6 1db0 1748
2efd 1f68 1768
2efd 1f70 1768
306f 1bc8 1828
306f 1bd0 1828
35ff 1fd0 1ad0

:2a74 UNDERNEATH STONEHENGE
2a77 1df0 1528
2a7b 1ef0 1528
2bff 1ff0 15e8

:2c38
2cb8 0e08 1650
2cbb 0ed0 1650

:2d38
2dba 0eb8 16c8

:2c3c
2c3f 0fe0 1600
2cbc 0f00 1668

:2d3c
2dbc 0f08 16c8

:2c40
2cc2 1090 1650

:2d40
2dc0 1008 16c8
2dc1 1048 16d0
2dc1 1050 16d0

:2c44 TOPOLLA THEATER
2dc6 1188 16e8
2dcd 1370 16e8

:2c50
2c52 1480 1638
2cd0 1408 1668
2cd3 14d0 1668

:2d50
.2d50 1428 16b8

:2d54 MONOTOLI BUILDING HALL WITH BATHROOMS AND ROBOTS
2dd5 1548 16d0
2dd6 1588 16d0
2dd7 15c8 16d0
2dd7 15e8 16d0
2dd9 1648 16d0
2dda 1688 16d0
2ddb 16f0 16e8

:2b54 POKEY'S OFFICE IN FOURSIDE
#2c59 1650 1608

:2c5c
.2cdf 17d0 1668

:2d5c
2ddd 1750 16c8

:2c60 MONKEY 3
2c60 1828 1638

2c61 1868 1638

2ce2 1890 1648

:2d60
2de0 1808 16c8
2de3 18f0 16c8

:2c64
2c66 19a8 1610

:2d64
2de4 1928 16c8
2de7 19f0 16e8

:2c68 MONKEY 4
2c68 1a28 1638

2c6a 1aa8 1638

2ceb 1ad0 1648

:2d68
2de8 1a08 16e8
2deb 1ad0 16e8

:2c7c MONKEY ROOM WITH PENCIL
2c7c 1f28 1638

2cfe 1fb0 1648

:2d7c
.2dff 1fd0 16e8

:2e00 ROAD TO GIYGAS
2e8a 02a0 1758
2e8a 02a8 1758

2f03 00c0 1798
3186 01a0 18d8
3186 01a8 18d8

:2e0c TWOSON
2e11 0458 1728
309b 06c8 1858
309f 07c8 1858
30a3 08d8 1868
3295 0558 1970
3297 05e0 1970
331a 0690 1988
3322 08b0 1980
33a6 0998 19d0
3595 0548 1af8
3425 0950 1a30
34a4 0910 1a70
3721 0848 1b90
3723 08f8 1bb0
3726 09a8 1ba8
37b8 0e30 1bc0
389e 07b8 1c70
391d 0778 1cb0
3923 08e8 1cb0
3a21 0868 1d10
4414 0508 2200
4414 0508 2208
4414 0508 2210

:2e30 HELLA LONG CRYPT STAIRCASE
#2eb6 0db0 1748
#31ac 0b28 18e8

:2e38
.2eb9 0e70 1750

:2e3c
.2ebc 0f08 1748

:2f3c
.2fbe 0fb0 17c8

:2e40
.2ec1 1068 1740
.2ec0 1000 1748

:2f40
.2fc2 1090 17c8

:2e50
.2ed0 1408 1768

:2e54 GOLD MONOTOLI OFFICE
#2f55 1548 1788
#2ed8 1610 1758

:2e5c CLUMSY ROBOT ROOM
##2edc 1708 1768
##2edf 17d0 1768

:2f5c
2f5e 1788 17b8
2fdc 1708 17e8
2fdf 17f0 17e8

:2e60
2ee1 1870 1748

:2f60
2fe0 1808 17c8
2fe3 18f0 17c8

:2e64 ERASER ERASER TUNNEL BENEATH STONEHENGE
2e64 1900 1728

31e4 1900 18e8

:2e68
2ee9 1a70 1748

:2f68
2fe8 1a08 17c8
2feb 1af0 17c8

:2e78 MONKEY 5
2e78 1e28 1738

2e79 1e68 1738

2efa 1e90 1748

:2f78
2ff8 1e08 17e8
2ffb 1ef0 17e8

:3130 FIRE SPRINGS MAIN ROOM
)31b4 0d08 18d0
)31b4 0d10 18d0
(3331 0c70 1990

3334 0d10 1990

33b1 0c68 19f0

34ae 0b90 1a70
352c 0b28 1a88
33b0 0c10 19f0
34b2 0cb0 1a70

32b6 0d88 1970
3437 0de8 1a10

33b4 0d28 19d0
3433 0ce8 1a10
3435 0d70 1a30
3535 0d68 1a90

:2f38 PINK CLOUD
3038 0e28 1828

:303c INSIDE BRICKROAD ZOO
313c 0f28 1888
313c 0f30 1888
313e 0fa8 18b0

#323f 0fe8 1908
#323f 0ff0 1908

#3242 1088 1908
#3242 1090 1908

3240 1000 1900

:2f44 FOURSIDE DEPARTMENT STORE
30c4 1110 1860
32d3 14e0 1958
3444 1120 1a08
3552 14b8 1ab0
3553 14c0 1ab8
35d3 14c8 1ac0

:3054 LARGE HOSPITAL
3056 1590 1838
30d4 1508 1868
30db 16f0 1868

:3154
3156 1588 18b8
3157 15e8 18b8
31d9 1670 18e8

:305c
30dc 1708 1868
30df 17d0 1868

:315c
.31df 17f0 18e8

:3060 MONKEY 6
3060 1828 1838

3061 1848 1838

30e3 18f0 1848

:3160
31e3 18f0 18c8
31e0 1808 18d8

:3168
31e8 1a08 18c8
31ef 1bf0 18c8

:3078
30f9 1e70 1848

:3254 EXTRA LONG MONKEY TUNNEL
32d4 1508 1968
32d8 1628 1958
32da 1688 1958

:3354
.33d4 1528 19c8

:3358
.33db 16d0 19e8

:325c
325d 1768 1930
32dc 1708 1968
32df 17d0 1968

:3260
3261 1850 1928

:3360
33e0 1808 19c8
33e3 18f0 19c8

:3264
.32e6 19b0 1968

:3268
32eb 1af0 1948

:343c TRILLIONAGE SPROUT DUNGEON?
35bd 0f48 1ac8
35bd 0f50 1ac8
39bc 0f28 1cc8
3943 10f0 1cb0

:3454
.34d7 15f0 1a68

:3554
##35d5 1568 1ad8
#35d7 15f0 1ae8

:3458
.34db 16f0 1a68

:3558
.35db 16d0 1ae8

:335c PALM TREE HOSPITAL
34df 17d0 1a50

:355c
35dc 1700 1ae0
35dc 1700 1ae8
35df 17f0 1ae8
35dc 1700 1af0

:3460
34e2 1890 1a48

:3560
35e0 1808 1ac8
35e3 18f0 1ac8

:3464 BENEATH STONEHENGE
34e9 1a50 1a48
35f3 1cf0 1ae8

:3474 TALAH RAMAH ROOM
3576 1db0 1a88

:363c LIER X. AGERATE ROOM
363e 0fa0 1b00
37bc 0f08 1bc8

:3644 DEEP DARKNESS
#3746 1190 1b80
#3746 1198 1b80

:3774 SATURN TUNNEL
37f4 1d08 1bc8
37ff 1fd8 1bc8

:3674 SCARABA ATM
36fd 1f40 1b58

:3800 SATURN VALLEY
3906 01a8 1ca0
3908 0228 1c80

3983 00d8 1cf8
3a03 00c0 1d30

3a84 0128 1d58

3a85 0168 1d48
3a82 00a8 1d78
3c83 00d8 1e58
3c06 01b8 1e18
3e03 00c8 1f08

:390c ROAD TO GIYGAS
390e 0380 1cb8
390e 0388 1cb8
3b0d 0360 1db8
3b0d 0368 1db8

:3874
3877 1dc8 1c38
38f4 1d08 1c68
38f8 1e30 1c68

:3974 TWOSON THEATER LOBBY
3976 1d88 1cb8
3976 1d90 1cb8

39f4 1d08 1ce8
39f7 1df0 1ce8

:3978
39fb 1ed0 1ce8

:387c
38ff 1fd0 1c68

:3a34 HAPPY HAPPY VILLAGE
3b37 0dc0 1da0
3b3e 0fb8 1db8
3b40 1010 1db8
3c3a 0eb8 1e10
3dbb 0ef8 1ed8
3c41 1070 1e20
3e37 0dc8 1f18
3f39 0e50 1fb8
3ec0 1010 1f58

:3b64
3be6 19b0 1dc8

:3b68
.3beb 1af0 1de8

:3b6c
.3bef 1bd0 1de8

:3664 SMALLER DEPARTMENT STORE
3af1 1c58 1d50
3af1 1c60 1d58
3af1 1c68 1d60

:3b70
.3bf3 1cf0 1de8

:3a74
3af4 1d08 1d68
3af8 1e30 1d68

:3b74
.3bf7 1df0 1de8

:3b78
.3bfb 1ed0 1de8

:3a7c
.3aff 1ff0 1d68

:3a28 BROWN GRASSY HIGHWAY
3c27 09f0 1e00
3c27 09f0 1e08
3c27 09f0 1e10
3c31 0c48 1e00
3c31 0c48 1e08
3c31 0c48 1e10

:3c64
3ce6 19b0 1e68

:3d64
.3de6 19b0 1ec8

:3c68
3ce8 1a20 1e50
3ceb 1af0 1e68

:3d68
.3de8 1a08 1ee8

:3c6c
3cee 1b90 1e48

:3d6c
3ded 1b48 1ed8
3dee 1b88 1ed8
3dec 1b08 1ee8

:3c70
.3cf3 1cf0 1e68

:3d70
.3df0 1c08 1ee8

:3c74
3cf7 1dd8 1e50

:3d74
.3df6 1d90 1ec8

:3c78
.3cfb 1ef0 1e68

:3d78
3dfb 1ed0 1ee8

:3c7c
3cfc 1f08 1e68
3cff 1fd0 1e68

:3d7c
3dff 1fd8 1ed0

:3e1c TITANIC ANT DUNGEON
3f1f 07e8 1f90
3f1f 07f0 1f90
3f9e 0788 1fe0

3ea3 08c8 1f70
3ea3 08d0 1f70
4127 09e8 2090
4127 09f0 2090
431c 0728 2180
4225 0948 2130
4225 0950 2130
432b 0ad0 21a0

:3e2c LILLIPUT STEPS
3f30 0c10 1fa0
3f30 0c18 1fa0

:3e64
3ee5 1968 1f48

:3f64
.3fe6 19b0 1fc8

:3e68
3e6a 1a88 1f38
3ee8 1a08 1f68

:3f68
3fe8 1a20 1fd0
3feb 1ad0 1fe8

:3e6c
3eee 1b90 1f48

:3f6c
.3fef 1bf0 1fe8

:3e70
3ef1 1c68 1f48

:3f70
3ff0 1c08 1fe8
3ff3 1cd0 1fe8

:3e74
3ef7 1dd8 1f50

:3f74
3ff6 1db0 1fc8

:3e78
3ef9 1e68 1f48

:3f78
.3ffa 1eb0 1fe8

:3e7c
.3eff 1fd0 1f68

:3f7c
.3ffe 1fb8 1fd0

:4004 BOTTOM OF A TUNNEL?
.4106 0188 2090

:4018 BRICKROAD'S FACE
4198 0628 20e8
4198 0630 20e8
#429b 06c8 2148
#429b 06d0 2148
#4299 0648 2168
#4299 0650 2168

:4044 GRAVEYARD DESCENT
4047 11e0 2000
41c7 11f0 20e8

:4048 THREED
4152 1480 2088
4152 1480 2090

##42de 1780 2170
##42de 1780 2178

4263 18c8 2138
4558 1608 2288
455e 17a8 22a0
44e0 1828 2240
47cd 1368 23d8
4656 1598 2308
4757 15d8 23a8
4757 15e0 23a8
47da 1698 23c8
475d 1748 23b8
4661 1868 2308
49c5 1178 24c0
49c5 1178 24c8
49c5 1178 24d0
49c5 1178 24d8
49c5 1178 24e0
48cc 1328 2458
48d1 1468 2468
48d1 1470 2468
48d3 14e0 2468
48d3 14e8 2468
48d7 15f8 2460
485b 16f8 2430
48d8 1608 2460
48da 1688 2468
48da 1690 2468
4960 1810 2480
