1 7aa
3c2 20c
3c5 20c
3ca 2c9
3cb 2c9
3cc 2c9
3cd 2c9
3ce 2c9
3cf 2c9
3d0 2c9
3d1 2c9
3d2 6eb
3d3 2a6
3d4 7cd
3d5 6f0
3d6 46f
3d7 53d
3d8 None
3d9 4c0
3da 4c1
3db 475
3dc 414
3dd 4bf
3de 596
3df 412
3e0 4bb
3e1 4bc
3e2 538
3e3 6ef
3e5 308
3e6 3c0
3e9 4db
3ea 612
3ec 34e
3ed 3f3
3ee 481
3f1 54c
3f2 482
3f3 3ed
3f4 3ed
3f5 1dd
3f6 1dd
3f7 640
3ff 642
400 649
401 2c0
402 464
403 44b
404 5b4
405 5b5
406 713
409 5c7
40a 5cb
40b 5cb
40c 5cb
40d 5cb
40e 5cb
40f 5cb
410 415
411 473
412 3df
413 597
414 3dc
415 410
416 58e
417 518
41d 517
41e 5d1
41f 59a
420 51f
426 489
427 47f
42d 47b
42e 79a
436 1dc
437 1dc
438 2d0
439 52c
43a 6f4
43b 6f4
449 4a8
44a 4a8
44b 403
460 5a5
461 6ea
463 4a6
464 402
466 49c
467 570
468 571
469 2b9
46b 3ac
46c 507
46d 4b6
46e 4b6
46f 3d6
470 38d
471 477
472 4b9
473 411
474 598
475 3db
476 359
477 471
478 5bd
479 4c9
47a 59b
47b 42d
47c 5d2
47f 427
480 427
481 3ee
482 3f2
483 4d7
489 426
48a 3b1
48f 4e4
49c 466
49d 5b0
49e 5ba
49f 6c0
4a0 210
4a6 463
4a8 449
4a9 57b
4aa 2bb
4ab 2bb
4ac 2bb
4ae 5c5
4b6 46d
4b7 4c3
4b8 50b
4b9 472
4ba 545
4bb 3e0
4bc 3e1
4bd None
4be 4bd
4bf 3dd
4c0 3d9
4c1 3da
4c2 544
4c3 4b7
4c4 50c
4c5 511
4c6 54a
4c7 4c8
4c8 4c7
4c9 479
4ca 54e
4d0 59c
4d1 309
4d2 515
4d3 59d
4d4 5d0
4d5 3a6
4d6 3a0
4d7 483
4d8 483
4d9 5d4
4da 54d
4db 3e9
4dc 1ab
4dd 653
4de 653
4df 291
4e0 2e6
4e2 5ab
4e3 1c4
4e4 48f
4e5 21a
4e6 2c8
507 46c
508 364
509 50a
50a 509
50b 4b8
50c 4c4
50d 543
50e 3aa
50f 510
510 50f
511 4c5
512 307
515 4d2
516 51c
517 41d
518 417
519 417
51a 551
51b 550
51c 516
51d 367
51e 3be
51f 420
520 420
521 613
522 613
523 69d
524 6a2
525 748
526 393
52a 7ce
52b 7ce
52c 439
52e ee
52f ee
530 6b5
538 3e2
53d 3d7
53e 58f
53f 595
540 5c9
542 2e8
543 50d
544 4c2
545 4ba
546 592
547 599
548 5cf
549 54b
54a 4c6
54b 549
54c 3f1
54d 4da
54e 4ca
54f 4ca
550 51b
551 51a
554 639
555 65f
556 660
557 638
560 63b
56f 212
570 467
571 468
572 214
576 213
57b 4a9
582 6dc
583 6dc
586 6da
587 6da
58e 416
58f 53e
591 318
592 546
594 5c8
595 53f
596 3de
597 413
598 474
599 547
59a 41f
59b 47a
59c 4d0
59d 4d3
59e 6ab
59f None
5a0 684
5a5 460
5a8 293
5ab 4e2
5b0 49d
5b4 404
5b5 405
5ba 49e
5bb 6f6
5bc 6f6
5bd 478
5c2 35a
5c3 35a
5c4 35a
5c5 4ae
5c6 c9
5c7 3d8
5c8 594
5c9 540
5ca bd
5cb 40a
5cc 40a
5cd 356
5ce 40a
5cf 548
5d0 4d4
5d1 41e
5d2 47c
5d3 2ee
5d4 4d9
5d5 79c
5d6 666
5d7 674
5d8 701
5d9 814
5da 149
5ee 20a
5fc 3
5fd 3
600 3b0
601 353
602 607
603 6aa
607 602
612 3ea
613 521
614 521
619 667
61a 682
61d 69f
61e 6f6
62e 35e
633 747
634 6d4
635 700
636 700
637 665
638 557
639 554
63a 744
63b 560
640 3f7
642 3ff
648 2d2
649 400
653 4dd
654 4dd
655 None
656 209
659 2b7
65a 19f
65b 317
65c 67a
65f 555
660 556
661 556
662 556
663 67b
664 677
665 637
666 5d6
667 619
668 6ff
669 698
66a 6a0
66b 7ff
66c 7ff
66d 7ff
66e 51
66f 51
670 51
671 1df
672 219
673 19b
674 5d7
675 30e
676 69b
677 664
678 69c
679 2ec
67a 65c
67b 663
67c 746
67d 6d2
67e 6a1
67f 3ba
680 31c
681 6d3
682 61a
683 6ac
684 5a0
685 3b9
686 2d4
687 20f
688 20f
689 6c
68a 6b
68b 6b
68c 136
68d 136
68e 1e1
68f 19e
692 1a3
698 669
699 354
69a 74a
69b 676
69c 678
69d 523
69e 31b
69f 61d
6a0 66a
6a1 67e
6a2 524
6a3 3b2
6a4 31a
6aa 603
6ab 59e
6ac 683
6ad 362
6ae 79d
6b5 530
6b6 530
6c0 49f
6c1 49f
6c5 6cf
6ce 204
6cf 6c5
6d0 6c5
6d1 6d5
6d2 67d
6d3 681
6d4 634
6d5 6d1
6d6 2b8
6da 530
6db 530
6dc 530
6dd 530
6ea 461
6eb 3d2
6ec 3d2
6ed 6d
6ee 8f
6ef 3e3
6f0 3d5
6f4 394
6f5 394
6f6 61e
6f7 7ab
6f8 7ab
6f9 7df
6ff 668
700 635
701 5d8
702 7e9
703 7e9
704 7e9
705 7e9
706 7e9
707 7e9
708 30d
709 7f1
70a 7f1
70b 7f1
70c 7f1
70d 7f1
70e 7f1
70f 80d
710 80d
711 80d
713 406
730 None
731 None
732 None
735 7c0
739 7b8
73a 7b8
73b 7b8
73d 7b8
73e 792
73f 76f
740 770
741 797
742 78c
744 63a
746 67c
747 633
748 525
749 525
74a 69a
75c None
75e 78b
75f 81e
760 81e
761 None
767 7c1
768 None
769 7c3
76a 23d
76b 23c
76c 23c
76d 7c5
76e 23e
76f 73f
770 740
771 818
772 818
773 818
774 818
775 818
776 7bc
779 7c9
77a 7c9
77b 790
77c 790
77d 7d4
77e None
77f 7d4
780 7e0
781 7e0
782 7d6
783 7d9
784 7f9
785 7f9
786 7f9
787 7f9
788 7f9
789 791
78a 798
78b 75e
78c 742
78d 23b
78f 7db
790 77b
791 789
792 73e
793 7dd
794 795
795 794
796 799
797 741
798 78a
799 796
79a 42e
79b 1b2
79c 5d5
79d 6ae
79e 2e3
7aa 1
7ab 6f7
7b1 813
7b3 286
7b5 7be
7b6 7c6
7b7 246
7b8 739
7b9 739
7ba 240
7bb 739
7bc 776
7bd 287
7be 7b5
7bf 7c8
7c0 735
7c1 767
7c2 288
7c3 769
7c5 76d
7c6 7b6
7c8 7bf
7c9 779
7ca 1e0
7cd 3d4
7ce 52a
7cf 52a
7d0 289
7d2 7d8
7d3 7de
7d4 77d
7d5 138
7d6 782
7d7 28a
7d8 7d2
7d9 783
7da 24b
7db 78f
7dd 793
7de 7d3
7df 6f9
7e0 780
7e1 57
7e2 57
7e3 57
7e4 57
7e5 57
7e6 57
7e7 57
7e8 57
7e9 702
7ea 702
7eb 702
7ec 702
7ed 702
7ee 702
7ef 702
7f0 702
7f1 709
7f2 709
7f3 709
7f4 709
7f5 709
7f6 709
7f7 709
7f8 709
7f9 784
7fa 784
7fb 784
7fc 784
7fd 784
7fe 784
7ff 66b
800 66b
801 66b
802 66b
803 66b
804 66b
805 2c1
806 2c1
807 2c1
808 2c1
809 2c1
80a 2c1
80b 2c1
80c 2c1
80d 70f
80e 70f
80f 70f
810 70f
811 70f
812 70f
813 7b1
814 5d9
815 816
816 815
817 1da
818 771
819 771
81a 771
81b 771
81c 771
81d 771
81e 75f
81f 75f
# thunder and storm
43a 6f4
43b 6f4
# electro spectre (on the other side of ES but w/e)
9 1c6
a 1c6
